Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
23,Exit Short,Long,2020-07-15 01:00,9249.5,155.571987,-6151.24,-0.43,427522.15,-0.43,15049.31,1.05,19098.74,1.33
23,Entry Short,Short,2020-07-12 16:00,9215.5,155.571987,-6151.24,-0.43,427522.15,-0.43,15049.31,1.05,19098.74,1.33
24,Exit Long,Short,2020-07-15 20:00,9188.0,154.335432,-10345.30,-0.72,417176.85,-0.72,1963.94,0.14,14009.78,0.98
24,Entry Long,Long,2020-07-15 01:00,9249.5,154.335432,-10345.30,-0.72,417176.85,-0.72,1963.94,0.14,14009.78,0.98
25,Exit Short,Long,2020-07-19 23:00,9173.0,154.242175,1464.02,0.10,418640.87,0.10,21554.36,1.52,7520.29,0.53
25,Entry Short,Short,2020-07-15 20:00,9188.0,154.242175,1464.02,0.10,418640.87,0.10,21554.36,1.52,7520.29,0.53
26,Exit Long,Exit Long,2020-08-02 05:00,12108.4,154.653847,452983.53,31.92,871624.40,31.93,453545.31,31.96,6457.09,0.46
26,Entry Long,Long,2020-07-19 23:00,9173.0,154.653847,452983.53,31.92,871624.40,31.93,453545.31,31.96,6457.09,0.46
27,Exit Short,Long,2020-08-03 19:00,11423.0,166.183771,-28384.95,-1.52,843239.45,-1.52,51869.66,2.77,35875.37,1.92
27,Entry Short,Short,2020-08-02 12:00,11259.0,166.183771,-28384.95,-1.52,843239.45,-1.52,51869.66,2.77,35875.37,1.92
28,Exit Long,Short,2020-08-09 15:00,11620.5,161.363561,30753.79,1.67,873993.24,1.67,79079.94,4.29,65824.54,3.57
28,Entry Long,Long,2020-08-03 19:00,11423.0,161.363561,30753.79,1.67,873993.24,1.67,79079.94,4.29,65824.54,3.57
29,Exit Short,Long,2020-08-13 23:00,11703.0,161.266174,-14432.85,-0.77,859560.39,-0.77,76281.13,4.07,71922.48,3.84
29,Entry Short,Short,2020-08-09 15:00,11620.5,161.266174,-14432.85,-0.77,859560.39,-0.77,76281.13,4.07,71922.48,3.84
30,Exit Long,Short,2020-08-18 21:00,11990.0,158.896753,44473.95,2.39,904034.34,2.39,126003.39,6.77,7549.33,0.41
30,Entry Long,Long,2020-08-13 23:00,11703.0,158.896753,44473.95,2.39,904034.34,2.39,126003.39,6.77,7549.33,0.41
31,Exit Short,Exit Short,2020-08-22 21:00,11592.0,158.801891,62079.69,3.26,966114.03,3.26,94551.12,4.96,16451.40,0.86
31,Entry Short,Short,2020-08-18 21:00,11990.0,158.801891,62079.69,3.26,966114.03,3.26,94551.12,4.96,16451.40,0.86
