time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
2020-03-28T11:00:00Z,6249.5,6300,6221.5,6231,236.215,6261.260474306489,6491.240282009964
2020-03-28T12:00:00Z,6231,6252.5,6206.5,6228,127.961,6255.717061922074,6481.8388433667515
2020-03-28T13:00:00Z,6228,6241.5,6149,6217.5,227.803,6249.347551601729,6472.398170389368
2020-03-28T14:00:00Z,6217.5,6244,6212,6231.5,124.369,6246.372959668108,6463.794664304033
2020-03-28T15:00:00Z,6231.5,6268,6204.5,6208.5,165.691,6240.060799723423,6454.676997721746
2020-03-28T16:00:00Z,6208.5,6235.5,6193,6223.5,135.189,6237.300666436186,6446.4206763745415
2020-03-28T17:00:00Z,6223.5,6228,6010,6010.5,328.952,6199.500555363488,6430.852080789737
2020-03-28T18:00:00Z,6010.5,6220,6010.5,6163.5,887.654,6193.500462802907,6421.303792190103
2020-03-28T19:00:00Z,6163.5,6224.5,6163,6212.5,279.124,6196.667052335756,6413.8465138976
2020-03-28T20:00:00Z,6212.5,6288.5,6212,6233.5,315.405,6202.805876946463,6407.405566972686
2020-03-28T21:00:00Z,6233.5,6255.5,6172.5,6212.5,194.419,6204.421564122053,6400.444653866519
2020-03-28T22:00:00Z,6212.5,6241,6176,6206.5,178.649,6204.7679701017105,6393.518059085572
2020-03-28T23:00:00Z,6206.5,6247,6183.5,6230.5,158.988,6209.056641751426,6387.695985546801
2020-03-29T00:00:00Z,6230.5,6247,6185.5,6201.5,131.994,6207.797201459522,6381.046128920129
2020-03-29T02:00:00+01:00,6201.5,6219.5,6184,6208,148.606,6207.831001216268,6374.865910030125
2020-03-29T03:00:00+01:00,6208,6219.5,6195,6196,176.188,6205.859167680223,6368.477841814763
2020-03-29T04:00:00+01:00,6196,6204.5,6184,6197,85.205,6204.38263973352,6362.353633178522
2020-03-29T05:00:00+01:00,6197,6202.5,6190,6197.5,113.165,6203.235533111267,6356.466003422146
2020-03-29T06:00:00+01:00,6197.5,6198,6140.5,6141,144.416,6192.862944259389,6348.770789014212
2020-03-29T07:00:00+01:00,6141,6157,6129.5,6146,239.746,6185.0524535494915,6341.5289751208475
2020-03-29T08:00:00+01:00,6146,6163,6107.5,6146.5,234.559,6178.627044624576,6334.5636545808175
2020-03-29T09:00:00+01:00,6146.5,6146.5,6084.5,6124,190.816,6169.522537187147,6327.043524060074
2020-03-29T10:00:00+01:00,6124,6125,6075,6080.5,143.994,6154.685447655956,6318.238398200785
2020-03-29T11:00:00+01:00,6080.5,6204.5,6080.5,6177,299.943,6158.404539713296,6313.194169693614
2020-03-29T12:00:00+01:00,6177,6183,6127.5,6134.5,192.211,6154.42044976108,6306.812235061699
2020-03-29T13:00:00+01:00,6134.5,6144,6059.5,6115,243.883,6147.8503748009,6299.96179809521
2020-03-29T14:00:00+01:00,6115,6130,6092,6116,167.772,6142.54197900075,6293.391733877524
2020-03-29T15:00:00+01:00,6116,6142,6105,6135,196.71,6141.284982500625,6287.734886239041
2020-03-29T16:00:00+01:00,6135,6138.5,6114,6123,252.319,6138.237485417188,6281.85149744479
2020-03-29T17:00:00+01:00,6123,6153.5,6042,6083,493.965,6129.0312378476565,6274.749658250333
2020-03-29T18:00:00+01:00,6083,6083.5,6047,6083,140.79,6121.3593648730475,6267.901456169963
2020-03-29T19:00:00+01:00,6083,6083.5,6060,6060,76.81,6111.132804060873,6260.476404163893
2020-03-29T20:00:00+01:00,6060,6077,5873,5897,702.108,6075.444003384061,6247.495104015183
2020-03-29T21:00:00+01:00,5897,5950,5858,5936.5,425.54,6052.286669486717,6236.388136014641
2020-03-29T22:00:00+01:00,5936.5,5937,5880,5882,191.899,6023.905557905598,6223.731416871261
2020-03-29T23:00:00+01:00,5882,5934,5863.5,5909.5,165.824,6004.837964921331,6212.508866268716
