time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
1585303200,6648,6672,6595,6641,200.108,6687.415932231806,NaN
1585306800,6641,6686.5,6615,6617.5,188.518,6675.763276859839,NaN
1585310400,6617.5,6659,6585,6631,174.331,6668.302730716532,NaN
1585314000,6631,6643,6573,6591.5,210.393,6655.50227559711,NaN
1585317600,6591.5,6620,6582,6613,245.215,6648.418562997592,NaN
1585321200,6613,6651,6608.5,6621,157.803,6643.848802497993,NaN
1585324800,6621,6666,6591.5,6638.5,253.911,6642.957335414994,6653.472727272727
1585328400,6638.5,6652.5,6610,6632,164.831,6641.131112845828,6652.705844155844
1585332000,6632,6655,6625,6644,115.313,6641.609260704857,6652.394921150278
1585335600,6644,6680,6638,6655.5,177.466,6643.924383920714,6652.505816823482
1585339200,6655.5,6659,6634.5,6654.5,145.932,6645.6869866005945,6652.577037651215
1585342800,6654.5,6676,6653.5,6670,127.9,6649.739155500495,6653.199286306528
1585346400,6670,6671.5,6642.5,6665,105.305,6652.282629583746,6653.620740367009
1585350000,6665,6665,6235,6354,360.881,6602.5688579864545,6642.9199996396155
1585353600,6354,6354,6196,6297,305.349,6551.640714988712,6630.565713938201
1585357200,6297,6298.5,6252,6268,158.567,6504.367262490593,6617.616938440408
1585360800,6268,6277.5,6240,6249.5,139.755,6461.889385408827,6604.469904924679
1585364400,6249.5,6254.5,6084.5,6118,308.037,6404.5744878406895,6587.095979748798
1585368000,6118,6193,6090.5,6166.5,215.038,6364.895406533908,6572.074694757769
1585371600,6166.5,6183,6138.5,6158.5,188.323,6330.49617211159,6557.304169944991
1585375200,6158.5,6167,6119,6157,187.129,6301.580143426325,6543.007592446956
1585378800,6157,6189,6157,6177.5,181.062,6280.900119521937,6529.953749859565
1585382400,6177.5,6262.5,6162,6250,289.31,6275.750099601614,6519.955401650294
1585386000,6250,6279.5,6234,6246.5,192.987,6270.875083001345,6510.1891373056405
1585389600,6246.5,6272,6218,6249.5,224.983,6267.312569167788,6500.878810973296
1585393200,6249.5,6300,6221.5,6231,236.215,6261.260474306489,6491.240282009964
1585396800,6231,6252.5,6206.5,6228,127.961,6255.717061922074,6481.8388433667515
1585400400,6228,6241.5,6149,6217.5,227.803,6249.347551601729,6472.398170389368
1585404000,6217.5,6244,6212,6231.5,124.369,6246.372959668108,6463.794664304033
1585407600,6231.5,6268,6204.5,6208.5,165.691,6240.060799723423,6454.676997721746
1585411200,6208.5,6235.5,6193,6223.5,135.189,6237.300666436186,6446.4206763745415
1585414800,6223.5,6228,6010,6010.5,328.952,6199.500555363488,6430.852080789737
1585418400,6010.5,6220,6010.5,6163.5,887.654,6193.500462802907,6421.303792190103
1585422000,6163.5,6224.5,6163,6212.5,279.124,6196.667052335756,6413.8465138976
1585425600,6212.5,6288.5,6212,6233.5,315.405,6202.805876946463,6407.405566972686
1585429200,6233.5,6255.5,6172.5,6212.5,194.419,6204.421564122053,6400.444653866519
1585432800,6212.5,6241,6176,6206.5,178.649,6204.7679701017105,6393.518059085572
1585436400,6206.5,6247,6183.5,6230.5,158.988,6209.056641751426,6387.695985546801
1585440000,6230.5,6247,6185.5,6201.5,131.994,6207.797201459522,6381.046128920129
1585443600,6201.5,6219.5,6184,6208,148.606,6207.831001216268,6374.865910030125
1585447200,6208,6219.5,6195,6196,176.188,6205.859167680223,6368.477841814763
1585450800,6196,6204.5,6184,6197,85.205,6204.38263973352,6362.353633178522
1585454400,6197,6202.5,6190,6197.5,113.165,6203.235533111267,6356.466003422146
1585458000,6197.5,6198,6140.5,6141,144.416,6192.862944259389,6348.770789014212
1585461600,6141,6157,6129.5,6146,239.746,6185.0524535494915,6341.5289751208475
1585465200,6146,6163,6107.5,6146.5,234.559,6178.627044624576,6334.5636545808175
1585468800,6146.5,6146.5,6084.5,6124,190.816,6169.522537187147,6327.043524060074
1585472400,6124,6125,6075,6080.5,143.994,6154.685447655956,6318.238398200785
1585476000,6080.5,6204.5,6080.5,6177,299.943,6158.404539713296,6313.194169693614
1585479600,6177,6183,6127.5,6134.5,192.211,6154.42044976108,6306.812235061699
1585483200,6134.5,6144,6059.5,6115,243.883,6147.8503748009,6299.96179809521
1585486800,6115,6130,6092,6116,167.772,6142.54197900075,6293.391733877524
1585490400,6116,6142,6105,6135,196.71,6141.284982500625,6287.734886239041
1585494000,6135,6138.5,6114,6123,252.319,6138.237485417188,6281.85149744479
1585497600,6123,6153.5,6042,6083,493.965,6129.0312378476565,6274.749658250333
1585501200,6083,6083.5,6047,6083,140.79,6121.3593648730475,6267.901456169963
1585504800,6083,6083.5,6060,6060,76.81,6111.132804060873,6260.476404163893
1585508400,6060,6077,5873,5897,702.108,6075.444003384061,6247.495104015183
1585512000,5897,5950,5858,5936.5,425.54,6052.286669486717,6236.388136014641
1585515600,5936.5,5937,5880,5882,191.899,6023.905557905598,6223.731416871261
1585519200,5882,5934,5863.5,5909.5,165.824,6004.837964921331,6212.508866268716
1585522800,5909.5,5926.5,5873,5873,188.775,5982.864970767776,6200.383549616262
1585526400,5873,5911,5841.5,5893,478.187,5967.887475639814,6189.405565701395
1585530000,5893,5936.5,5886.5,5932,206.845,5961.9062296998445,6180.212509783488
1585533600,5932,6015.5,5931.5,5981.5,302.01,5965.171858083204,6173.115634434078
1585537200,5981.5,5998.5,5970.5,5996.5,542.802,5970.393215069336,6166.80793320429
1585540800,5996.5,6034.5,5983,6023.5,620.282,5979.244345891114,6161.689792732708
1585544400,6023.5,6240,6023.5,6196,1151.109,6015.370288242595,6162.915157277968
1585548000,6196,6242.5,6167.5,6210,644.733,6047.808573535496,6164.596758803755
1585551600,6210,6321.5,6208,6238.5,928.814,6079.590477946247,6167.236160275049
1585555200,6238.5,6288,6238.5,6270.5,546.382,6111.408731621873,6170.92415455094
1585558800,6270.5,6278,6240.5,6246.5,451.156,6133.923943018228,6173.623291888407
1585562400,6246.5,6307,6245.5,6273,576.774,6157.103285848523,6177.17246003525
1585566000,6273,6386,6266.5,6358.5,816.437,6190.669404873769,6183.64844360542
1585569600,6358.5,6374.5,6285,6302.5,742.262,6209.307837394807,6187.893142048083
1585573200,6302.5,6338.5,6297.5,6302,575.246,6224.756531162339,6191.968386974937
1585576800,6302,6333,6274,6321.5,602.319,6240.880442635283,6196.594516011546
1585580400,6321.5,6430.5,6321.5,6336,856.061,6256.733702196068,6201.573283296848
1585584000,6336,6384.5,6306,6370.5,632.788,6275.694751830057,6207.60638032196
1585587600,6370.5,6379.5,6329.5,6351,585.514,6288.245626525048,6212.727581024747
1585591200,6351,6365,6327.5,6362.5,567.596,6300.62135543754,6218.076595988149
1585594800,6362.5,6399.5,6347.5,6364.5,491.983,6311.26779619795,6223.306003274287
1585598400,6364.5,6474.5,6363,6452,769.392,6334.723163498292,6231.473646014491
1585602000,6452,6545,6451.5,6525.5,783.068,6366.519302915243,6241.974587228259
1585605600,6525.5,6577.5,6448.5,6462,657.925,6382.432752429369,6249.8326376843925
1585609200,6462,6473.5,6381.5,6389.5,573.932,6383.6106270244745,6254.820757767093
1585612800,6389.5,6463.5,6381.5,6437,625.467,6392.508855853729,6261.327159275411
1585616400,6437,6509.5,6437,6507,552.807,6411.590713211441,6270.101189301289
1585620000,6507,6509.5,6443,6444.5,563.721,6417.075594342868,6276.329718254815
1585623600,6444.5,6472.5,6408,6435,731.024,6420.062995285723,6281.996514031429
1585627200,6435,6449.5,6373,6391,773.471,6415.219162738103,6285.889495673164
1585630800,6391,6430.5,6375,6408.5,532.748,6414.099302281752,6290.268442256265
1585634400,6408.5,6463,6384.5,6463,570.138,6422.249418568126,6296.437426461399
1585638000,6463,6470.5,6422,6437,535.814,6424.707848806772,6301.457518373491
1585641600,6437,6497.5,6437,6488,586.416,6435.25654067231,6308.119749860152
1585645200,6488,6489.5,6417,6426.5,546.46,6433.7971172269245,6312.3476159365755
1585648800,6426.5,6436.5,6399.5,6422.5,648.327,6431.914264355771,6316.281629653126
1585652400,6422.5,6424,6339.5,6386.5,676.504,6424.345220296475,6318.7894285940865
1585656000,6386.5,6454,6323.5,6437.5,749.75,6426.537683580396,6323.029091858583
1585659600,6437.5,6477,6392,6411.5,847.505,6424.031402983664,6326.188767149348
1585663200,6411.5,6470,6411.5,6444.5,711.516,6427.44283581972,6330.414168322585
1585666800,6444.5,6494.5,6415.5,6445,924.59,6430.369029849767,6334.506519453921
1585670400,6445,6460.5,6410,6423.5,630.316,6429.2241915414725,6337.684858044852
1585674000,6423.5,6451,6397.5,6445.5,625.047,6431.93682628456,6341.535398828964
1585677600,6445.5,6479.5,6440,6451.5,714.758,6435.197355237134,6345.4627060136445
1585681200,6451.5,6464.5,6427.5,6454.5,578.234,6438.414462697611,6349.356895084586
1585684800,6454.5,6490,6443,6463,733.645,6442.512052248009,6353.415577402993
1585688400,6463,6474.5,6413,6436,618.905,6441.426710206674,6356.365021067172
1585692000,6436,6439.5,6417,6425.5,612.467,6438.772258505562,6358.8341274576305
1585695600,6425.5,6432.5,6388.5,6405,621.857,6433.143548754635,6360.482908619858
1585699200,6405,6417,6243.5,6302.5,1012.795,6411.369623962196,6358.412090454863
1585702800,6302.5,6317,6280.5,6282,536.143,6389.808019968496,6355.683087224332
1585706400,6282,6314,6282,6309.5,423.754,6376.4233499737475,6354.033691252034
1585710000,6309.5,6372,6305.5,6360.5,475.996,6373.769458311456,6354.264630850176
1585713600,6360.5,6365,6327,6336.5,514.726,6367.557881926214,6353.630179748384
1585717200,6336.5,6338.5,6283.5,6296.5,567.554,6355.714901605178,6351.589816185941
1585720800,6296.5,6310.5,6262,6289.5,497.894,6344.679084670982,6349.372322750729
1585724400,6289.5,6326.5,6280,6323,487.26,6341.065903892485,6348.43045408106
1585728000,6323,6323,6275.5,6301,482.642,6334.388253243737,6346.736509292451
1585731600,6301,6303,6257,6291,437.253,6327.156877703114,6344.745919674863
1585735200,6291,6308,6281,6285.5,411.208,6320.214064752596,6342.629993972189
1585738800,6285.5,6295.5,6265.5,6286,501.365,6314.511720627163,6340.607494187469
1585742400,6286,6333,6181.5,6214.5,1147.479,6297.843100522636,6336.103655109345
1585746000,6214.5,6229.5,6156.5,6197,752.577,6281.035917102196,6331.135667426868
1585749600,6197,6250,6191.5,6239.5,878.157,6274.1132642518305,6327.862965018766
1585753200,6239.5,6248,6213.5,6223.5,560.72,6265.677720209858,6324.135716268096
1585756800,6223.5,6223.5,6145,6178,698.787,6251.064766841549,6318.916583544235
