,time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
0,2020-03-25 10:00:00,6500.0,6591.5,6500.0,6591.5,0.004,,
1,2020-03-25 11:00:00,6591.5,6628.5,6457.5,6511.5,438.873,,
2,2020-03-25 12:00:00,6511.5,6588.5,6502.0,6583.5,529.318,,
3,2020-03-25 13:00:00,6583.5,6745.5,6562.0,6585.0,449.162,,
4,2020-03-25 14:00:00,6585.0,6640.0,6516.0,6590.0,258.831,,
5,2020-03-25 15:00:00,6590.0,6662.0,6590.0,6615.0,20.693,,
6,2020-03-25 16:00:00,6615.0,6695.5,6601.5,6664.5,23.185,,
7,2020-03-25 17:00:00,6664.5,6677.5,6635.5,6650.0,16.523,,
8,2020-03-25 18:00:00,6650.0,6652.5,6592.5,6652.5,17.288,,
9,2020-03-25 19:00:00,6652.5,6671.5,6597.5,6622.0,10.834,,
10,2020-03-25 20:00:00,6622.0,6638.0,6573.0,6590.0,20.314,6605.045454545455,
11,2020-03-25 21:00:00,6590.0,6602.0,6556.0,6588.0,9.025,6602.204545454546,
12,2020-03-25 22:00:00,6588.0,6692.5,6588.0,6681.0,12.434,6615.337121212122,
13,2020-03-25 23:00:00,6681.0,6698.5,6650.0,6698.5,3.036,6629.197601010102,
14,2020-03-26 00:00:00,6698.5,6767.0,6698.5,6738.5,27.19,6647.414667508418,
15,2020-03-26 01:00:00,6738.5,6738.5,6675.0,6688.0,80.82,6654.178889590348,
16,2020-03-26 02:00:00,6688.0,6698.0,6655.0,6694.0,3.376,6660.81574132529,
17,2020-03-26 03:00:00,6694.0,6742.0,6667.5,6726.5,258.723,6671.763117771076,
18,2020-03-26 04:00:00,6726.5,6751.0,6678.5,6692.0,191.123,6675.1359314758965,
19,2020-03-26 05:00:00,6692.0,6708.5,6613.5,6625.0,185.905,6666.779942896581,
20,2020-03-26 06:00:00,6625.0,6666.0,6585.0,6636.0,160.821,6661.649952413817,
21,2020-03-26 07:00:00,6636.0,6636.0,6555.0,6582.0,206.572,6648.374960344848,
22,2020-03-26 08:00:00,6582.0,6623.5,6566.0,6610.5,153.397,6642.062466954039,
23,2020-03-26 09:00:00,6610.5,6641.5,6600.0,6616.5,155.435,6637.802055795033,
24,2020-03-26 10:00:00,6616.5,6638.5,6585.5,6616.0,174.321,6634.168379829194,
25,2020-03-26 11:00:00,6616.0,6665.0,6590.0,6598.5,156.592,6628.223649857662,
26,2020-03-26 12:00:00,6598.5,6631.0,6571.5,6620.5,138.187,6626.936374881385,
27,2020-03-26 13:00:00,6620.5,6675.5,6512.0,6626.5,218.401,6626.863645734487,
28,2020-03-26 14:00:00,6626.5,6631.5,6582.0,6591.5,149.487,6620.96970477874,
29,2020-03-26 15:00:00,6591.5,6615.5,6562.5,6611.0,185.016,6619.308087315616,
30,2020-03-26 16:00:00,6611.0,6657.5,6594.0,6634.5,175.766,6621.840072763013,
31,2020-03-26 17:00:00,6634.5,6675.0,6608.0,6630.5,364.416,6623.283393969177,
32,2020-03-26 18:00:00,6630.5,6651.5,6626.0,6629.5,98.013,6624.319494974315,
33,2020-03-26 19:00:00,6629.5,6667.0,6629.5,6656.0,148.357,6629.599579145262,
34,2020-03-26 20:00:00,6656.0,6733.0,6655.0,6719.0,203.907,6644.499649287719,
35,2020-03-26 21:00:00,6719.0,6749.0,6692.0,6713.5,151.709,6655.999707739766,
36,2020-03-26 22:00:00,6713.5,6716.0,6670.5,6699.0,154.315,6663.166423116471,
37,2020-03-26 23:00:00,6699.0,6760.0,6698.5,6733.5,163.115,6674.888685930393,
38,2020-03-27 00:00:00,6733.5,6838.0,6733.5,6808.5,218.237,6697.157238275328,
39,2020-03-27 01:00:00,6808.5,6821.5,6757.5,6799.5,177.156,6714.21436522944,
40,2020-03-27 02:00:00,6799.5,6799.5,6756.5,6789.5,132.445,6726.7619710245335,
41,2020-03-27 03:00:00,6789.5,6799.5,6776.5,6789.5,137.205,6737.218309187111,
42,2020-03-27 04:00:00,6789.5,6821.5,6732.5,6738.0,220.748,6737.348590989259,
43,2020-03-27 05:00:00,6738.0,6740.0,6616.5,6653.0,372.592,6723.290492491049,
44,2020-03-27 06:00:00,6653.0,6693.5,6638.0,6673.5,205.998,6714.9920770758745,
45,2020-03-27 07:00:00,6673.5,6720.0,6673.5,6702.0,230.315,6712.826730896562,
46,2020-03-27 08:00:00,6702.0,6702.0,6670.0,6674.5,133.197,6706.438942413802,
47,2020-03-27 09:00:00,6674.5,6685.5,6641.0,6648.0,149.547,6696.699118678168,
48,2020-03-27 10:00:00,6648.0,6672.0,6595.0,6641.0,200.108,6687.415932231806,
49,2020-03-27 11:00:00,6641.0,6686.5,6615.0,6617.5,188.518,6675.763276859839,
50,2020-03-27 12:00:00,6617.5,6659.0,6585.0,6631.0,174.331,6668.302730716532,
51,2020-03-27 13:00:00,6631.0,6643.0,6573.0,6591.5,210.393,6655.50227559711,
52,2020-03-27 14:00:00,6591.5,6620.0,6582.0,6613.0,245.215,6648.418562997592,
53,2020-03-27 15:00:00,6613.0,6651.0,6608.5,6621.0,157.803,6643.848802497993,
54,2020-03-27 16:00:00,6621.0,6666.0,6591.5,6638.5,253.911,6642.957335414994,6653.472727272727
55,2020-03-27 17:00:00,6638.5,6652.5,6610.0,6632.0,164.831,6641.131112845828,6652.705844155844
56,2020-03-27 18:00:00,6632.0,6655.0,6625.0,6644.0,115.313,6641.609260704857,6652.394921150278
57,2020-03-27 19:00:00,6644.0,6680.0,6638.0,6655.5,177.466,6643.924383920714,6652.505816823482
58,2020-03-27 20:00:00,6655.5,6659.0,6634.5,6654.5,145.932,6645.6869866005945,6652.577037651215
59,2020-03-27 21:00:00,6654.5,6676.0,6653.5,6670.0,127.9,6649.739155500495,6653.199286306528
60,2020-03-27 22:00:00,6670.0,6671.5,6642.5,6665.0,105.305,6652.282629583746,6653.620740367009
61,2020-03-27 23:00:00,6665.0,6665.0,6235.0,6354.0,360.881,6602.568857986455,6642.919999639616
62,2020-03-28 00:00:00,6354.0,6354.0,6196.0,6297.0,305.349,6551.640714988712,6630.565713938201
63,2020-03-28 01:00:00,6297.0,6298.5,6252.0,6268.0,158.567,6504.367262490593,6617.616938440408
64,2020-03-28 02:00:00,6268.0,6277.5,6240.0,6249.5,139.755,6461.889385408827,6604.469904924679
65,2020-03-28 03:00:00,6249.5,6254.5,6084.5,6118.0,308.037,6404.5744878406895,6587.095979748798
66,2020-03-28 04:00:00,6118.0,6193.0,6090.5,6166.5,215.038,6364.895406533908,6572.074694757769
67,2020-03-28 05:00:00,6166.5,6183.0,6138.5,6158.5,188.323,6330.49617211159,6557.304169944991
68,2020-03-28 06:00:00,6158.5,6167.0,6119.0,6157.0,187.129,6301.580143426325,6543.007592446956
69,2020-03-28 07:00:00,6157.0,6189.0,6157.0,6177.5,181.062,6280.900119521937,6529.953749859565
70,2020-03-28 08:00:00,6177.5,6262.5,6162.0,6250.0,289.31,6275.750099601614,6519.955401650294
71,2020-03-28 09:00:00,6250.0,6279.5,6234.0,6246.5,192.987,6270.875083001345,6510.1891373056405
72,2020-03-28 10:00:00,6246.5,6272.0,6218.0,6249.5,224.983,6267.312569167788,6500.878810973296
73,2020-03-28 11:00:00,6249.5,6300.0,6221.5,6231.0,236.215,6261.260474306489,6491.240282009964
74,2020-03-28 12:00:00,6231.0,6252.5,6206.5,6228.0,127.961,6255.717061922074,6481.838843366752
75,2020-03-28 13:00:00,6228.0,6241.5,6149.0,6217.5,227.803,6249.347551601729,6472.398170389368
76,2020-03-28 14:00:00,6217.5,6244.0,6212.0,6231.5,124.369,6246.372959668108,6463.794664304033
77,2020-03-28 15:00:00,6231.5,6268.0,6204.5,6208.5,165.691,6240.060799723423,6454.676997721746
78,2020-03-28 16:00:00,6208.5,6235.5,6193.0,6223.5,135.189,6237.300666436186,6446.4206763745415
79,2020-03-28 17:00:00,6223.5,6228.0,6010.0,6010.5,328.952,6199.500555363488,6430.852080789737
80,2020-03-28 18:00:00,6010.5,6220.0,6010.5,6163.5,887.654,6193.500462802907,6421.303792190103
81,2020-03-28 19:00:00,6163.5,6224.5,6163.0,6212.5,279.124,6196.667052335756,6413.8465138976
82,2020-03-28 20:00:00,6212.5,6288.5,6212.0,6233.5,315.405,6202.805876946463,6407.405566972686
83,2020-03-28 21:00:00,6233.5,6255.5,6172.5,6212.5,194.419,6204.421564122053,6400.444653866519
84,2020-03-28 22:00:00,6212.5,6241.0,6176.0,6206.5,178.649,6204.767970101711,6393.518059085572
85,2020-03-28 23:00:00,6206.5,6247.0,6183.5,6230.5,158.988,6209.056641751426,6387.695985546801
86,2020-03-29 00:00:00,6230.5,6247.0,6185.5,6201.5,131.994,6207.797201459522,6381.046128920129
87,2020-03-29 01:00:00,6201.5,6219.5,6184.0,6208.0,148.606,6207.831001216268,6374.865910030125
